id,email,device_mac_id,ip,location,time_to_attempt,rejection_reason,is_suspicious,scenario
1,user9@example.com,02:74:94:28:77:33,192.0.2.98,"Dhaka, BD",2026-07-01T00:11:51Z,expired_session,0,normal_user_error
2,user9@example.com,02:74:94:28:77:33,192.0.2.98,"Dhaka, BD",2026-07-01T00:28:22Z,invalid_password,0,normal_user_error
3,user1@example.com,02:39:0C:8C:7D:72,192.0.2.36,"Dhaka, BD",2026-07-01T00:37:27Z,password_typo,0,normal_user_error
4,user9@example.com,02:74:94:28:77:33,192.0.2.98,"Dhaka, BD",2026-07-01T00:39:58Z,password_typo,0,normal_user_error
5,user8@example.com,02:96:B9:62:23:17,192.0.2.170,"Rajshahi, BD",2026-07-01T01:50:21Z,expired_session,0,normal_user_error
6,user10@example.com,02:8E:E8:BA:53:BD,192.0.2.91,"Chattogram, BD",2026-07-01T01:57:20Z,password_typo,0,normal_user_error
7,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-01T01:58:13Z,expired_session,0,normal_user_error
8,user8@example.com,02:A5:DD:D0:8C:3E,192.0.2.120,"Dhaka, BD",2026-07-01T02:16:39Z,password_typo,0,normal_user_error
9,user8@example.com,02:96:B9:62:23:17,192.0.2.170,"Rajshahi, BD",2026-07-01T02:25:48Z,invalid_password,0,normal_user_error
10,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-01T02:33:34Z,expired_session,0,normal_user_error
11,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-01T02:36:11Z,password_typo,0,normal_user_error
12,user10@example.com,02:8E:E8:BA:53:BD,192.0.2.91,"Chattogram, BD",2026-07-01T03:18:13Z,unknown_device,0,normal_user_error
13,user3@example.com,02:6F:77:0D:65:D6,192.0.2.57,"Sylhet, BD",2026-07-01T03:35:00Z,password_typo,0,normal_user_error
14,user8@example.com,02:5B:36:98:65:4E,192.0.2.170,"London, GB",2026-07-01T03:46:51Z,invalid_password,0,normal_user_error
15,user4@example.com,02:E5:8E:03:51:D8,192.0.2.88,"Rajshahi, BD",2026-07-01T04:02:48Z,unknown_device,0,normal_user_error
16,user1@example.com,02:39:0C:8C:7D:72,192.0.2.36,"Dhaka, BD",2026-07-01T04:07:51Z,invalid_password,0,normal_user_error
17,user2@example.com,02:34:2C:D8:10:0F,192.0.2.24,"Chattogram, BD",2026-07-01T04:47:18Z,invalid_password,0,normal_user_error
