,id,email,device_mac_id,ip,location,time_to_attempt,rejection_reason,is_suspicious,scenario,email_attempts_5m,email_attempts_10m,email_attempts_1h,seconds_since_email_last_attempt,seconds_since_ip_last_attempt,ip_attempts_5m,ip_attempts_10m,hour_sin,hour_cos
1746,1747,user1@example.com,02:18:18:37:0A:18,192.0.2.107,"London, GB",2026-07-19 05:07:51+00:00,password_typo,0,normal_user_error,1,1,2,1834812,1834812,1,1,0.9659258262890683,0.25881904510252074
1549,1550,user8@example.com,02:96:B9:62:23:17,192.0.2.111,"Sylhet, BD",2026-07-17 11:10:10+00:00,invalid_password,0,normal_user_error,1,1,3,1985873,1985873,1,1,0.258819045102521,-0.9659258262890682
2562,2563,user5@example.com,02:8E:4F:6E:AC:34,192.0.2.111,"Dhaka, BD",2026-07-27 00:10:48+00:00,expired_session,0,normal_user_error,1,1,1,1161435,1161435,1,1,0.0,1.0
766,767,user8@example.com,02:62:40:15:D8:28,192.0.2.112,"Sylhet, BD",2026-07-09 09:25:06+00:00,invalid_password,0,normal_user_error,1,1,2,2683377,2683377,1,1,0.7071067811865476,-0.7071067811865475
1807,1808,user9@example.com,02:12:23:78:93:74,192.0.2.112,"Dubai, AE",2026-07-19 10:44:34+00:00,unknown_device,0,normal_user_error,1,4,4,1814609,1814609,1,1,0.49999999999999994,-0.8660254037844387
435,436,user1@example.com,02:39:0C:8C:7D:72,192.0.2.113,"Dubai, AE",2026-07-05 18:58:37+00:00,password_typo,0,normal_user_error,1,1,2,2994566,2994566,1,1,-1.0,-1.8369701987210297e-16
2913,2914,user1@example.com,02:39:0C:8C:7D:72,192.0.2.117,"Rajshahi, BD",2026-07-30 12:21:09+00:00,invalid_password,0,normal_user_error,1,1,1,858414,858414,1,1,1.2246467991473532e-16,-1.0
2423,2424,user4@example.com,02:E5:8E:03:51:D8,192.0.2.118,"Sylhet, BD",2026-07-25 03:49:27+00:00,invalid_password,0,normal_user_error,1,1,2,1321116,1321116,1,1,0.7071067811865475,0.7071067811865476
2920,2921,user9@example.com,02:6A:A6:F4:C0:A0,192.0.2.118,"Dhaka, BD",2026-07-30 16:25:24+00:00,otp_failed,0,normal_user_error,1,1,1,843759,843759,1,1,-0.8660254037844384,-0.5000000000000004
7,8,user8@example.com,02:A5:DD:D0:8C:3E,192.0.2.120,"Dhaka, BD",2026-07-01 02:16:39+00:00,password_typo,0,normal_user_error,1,1,2,3400284,3400284,1,1,0.49999999999999994,0.8660254037844387
2198,2199,user9@example.com,02:77:24:12:48:FA,192.0.2.121,"Sylhet, BD",2026-07-23 06:02:24+00:00,otp_failed,0,normal_user_error,1,1,1,1485939,1485939,1,1,1.0,6.123233995736766e-17
2469,2470,user6@example.com,02:C2:31:B7:B0:87,192.0.2.121,"Dubai, AE",2026-07-25 21:28:28+00:00,expired_session,0,normal_user_error,1,1,2,1257575,1257575,1,1,-0.7071067811865477,0.7071067811865474
441,442,user10@example.com,02:B0:D2:87:C4:F8,192.0.2.122,"Chattogram, BD",2026-07-05 20:44:46+00:00,invalid_password,0,normal_user_error,1,1,1,2988197,2988197,1,1,-0.8660254037844386,0.5000000000000001
567,568,user4@example.com,02:E5:8E:03:51:D8,192.0.2.122,"London, GB",2026-07-07 07:22:55+00:00,invalid_password,0,normal_user_error,1,1,1,2863508,2863508,2,2,0.9659258262890683,-0.25881904510252063
774,775,user9@example.com,02:74:94:28:77:33,192.0.2.125,"London, GB",2026-07-09 11:21:08+00:00,expired_session,0,normal_user_error,1,1,1,2676415,2676415,1,1,0.258819045102521,-0.9659258262890682
1260,1261,user1@example.com,02:67:68:21:5A:E0,192.0.2.126,"Rajshahi, BD",2026-07-14 02:24:29+00:00,password_typo,0,normal_user_error,1,1,2,2276614,2276614,1,1,0.49999999999999994,0.8660254037844387
2909,2910,user4@example.com,02:02:85:59:D0:36,192.0.2.129,"Dubai, AE",2026-07-30 10:27:52+00:00,invalid_password,0,normal_user_error,1,1,1,865211,865211,1,1,0.49999999999999994,-0.8660254037844387
2209,2210,user2@example.com,02:34:2C:D8:10:0F,192.0.2.131,"Sylhet, BD",2026-07-23 09:37:32+00:00,password_typo,0,normal_user_error,1,1,1,1473031,1473031,1,1,0.7071067811865476,-0.7071067811865475
2000,2001,user7@example.com,02:B9:0F:E2:4A:05,192.0.2.133,"Dubai, AE",2026-07-21 01:39:24+00:00,otp_failed,1,unusual_single_attempt,1,1,1,1674519,1674519,1,1,0.25881904510252074,0.9659258262890683
2694,2695,user5@example.com,02:8E:4F:6E:AC:34,192.0.2.135,"Rajshahi, BD",2026-07-28 08:13:50+00:00,expired_session,0,normal_user_error,1,1,1,1046053,1046053,1,1,0.8660254037844387,-0.4999999999999998
147,148,user9@example.com,02:74:94:28:77:33,192.0.2.137,"Rajshahi, BD",2026-07-03 02:38:24+00:00,password_typo,0,normal_user_error,1,1,1,3226179,3226179,1,1,0.49999999999999994,0.8660254037844387
1472,1473,user3@example.com,02:C4:D8:83:25:30,192.0.2.14,"Singapore, SG",2026-07-16 16:36:31+00:00,invalid_password,0,normal_user_error,1,1,2,2052692,2052692,1,1,-0.8660254037844384,-0.5000000000000004
19,20,user10@example.com,02:8E:E8:BA:53:BD,192.0.2.141,"Dhaka, BD",2026-07-01 06:07:05+00:00,otp_failed,0,normal_user_error,1,1,1,3386458,3386458,1,1,1.0,6.123233995736766e-17
2965,2966,user10@example.com,02:B7:EA:DA:35:55,192.0.2.141,"Singapore, SG",2026-07-31 08:33:23+00:00,invalid_password,0,normal_user_error,1,1,1,785680,785680,1,1,0.8660254037844387,-0.4999999999999998
6,7,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-01 01:58:13+00:00,expired_session,0,normal_user_error,1,1,1,3401390,3401390,1,1,0.25881904510252074,0.9659258262890683
54,55,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-01 21:50:07+00:00,invalid_password,0,normal_user_error,1,1,1,3329876,3329876,1,1,-0.7071067811865477,0.7071067811865474
55,56,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-01 22:16:54+00:00,password_typo,0,normal_user_error,1,1,2,3328269,3328269,2,2,-0.5000000000000004,0.8660254037844384
61,62,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-02 00:14:30+00:00,password_typo,0,normal_user_error,1,1,1,3321213,3321213,1,1,0.0,1.0
100,101,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-02 15:28:30+00:00,invalid_password,0,normal_user_error,1,1,1,3266373,3266373,1,1,-0.7071067811865471,-0.7071067811865479
128,129,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-02 21:07:02+00:00,invalid_password,0,normal_user_error,1,1,1,3246061,3246061,1,1,-0.7071067811865477,0.7071067811865474
129,130,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-02 21:11:05+00:00,otp_failed,0,normal_user_error,2,2,2,3245818,3245818,1,1,-0.7071067811865477,0.7071067811865474
149,150,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-03 02:51:10+00:00,password_typo,0,normal_user_error,1,1,1,3225413,3225413,2,2,0.49999999999999994,0.8660254037844387
251,252,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-03 20:18:54+00:00,invalid_password,0,normal_user_error,1,1,1,3162549,3162549,1,1,-0.8660254037844386,0.5000000000000001
272,273,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 04:57:55+00:00,expired_session,0,normal_user_error,1,1,1,3131408,3131408,1,1,0.8660254037844386,0.5000000000000001
301,302,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 12:01:35+00:00,invalid_password,0,normal_user_error,1,1,1,3105988,3105988,1,1,1.2246467991473532e-16,-1.0
308,309,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 14:38:07+00:00,invalid_password,0,normal_user_error,1,1,1,3096596,3096596,1,1,-0.4999999999999997,-0.8660254037844388
309,310,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 15:11:01+00:00,invalid_password,0,normal_user_error,1,1,2,3094622,3094622,1,1,-0.7071067811865471,-0.7071067811865479
325,326,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 19:57:23+00:00,unknown_device,0,normal_user_error,1,1,1,3077440,3077440,1,1,-0.9659258262890684,0.2588190451025203
333,334,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 21:34:26+00:00,expired_session,0,normal_user_error,1,1,1,3071617,3071617,1,1,-0.7071067811865477,0.7071067811865474
342,343,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-04 23:28:31+00:00,password_typo,0,normal_user_error,1,1,1,3064772,3064772,2,2,-0.25881904510252157,0.9659258262890681
355,356,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 03:50:27+00:00,invalid_password,0,normal_user_error,1,1,1,3049056,3049056,1,1,0.7071067811865475,0.7071067811865476
399,400,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 07:02:58+00:00,password_typo,0,normal_user_error,1,1,5,3037505,3037505,1,1,0.9659258262890683,-0.25881904510252063
404,405,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 08:24:16+00:00,expired_session,0,normal_user_error,1,1,1,3032627,3032627,1,1,0.8660254037844387,-0.4999999999999998
416,417,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 12:35:47+00:00,expired_session,0,normal_user_error,1,1,1,3017536,3017536,1,1,1.2246467991473532e-16,-1.0
428,429,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 16:30:20+00:00,invalid_password,0,normal_user_error,1,1,1,3003463,3003463,1,2,-0.8660254037844384,-0.5000000000000004
436,437,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 19:18:50+00:00,invalid_password,0,normal_user_error,1,1,1,2993353,2993353,1,1,-0.9659258262890684,0.2588190451025203
442,443,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-05 20:46:51+00:00,invalid_password,0,normal_user_error,1,1,1,2988072,2988072,1,1,-0.8660254037844386,0.5000000000000001
466,467,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-06 04:37:09+00:00,invalid_password,0,normal_user_error,1,1,1,2959854,2959854,2,2,0.8660254037844386,0.5000000000000001
490,491,user7@example.com,02:16:EB:3F:C1:28,192.0.2.142,"Sylhet, BD",2026-07-06 08:33:03+00:00,password_typo,0,normal_user_error,1,1,1,2945700,2945700,1,3,0.8660254037844387,-0.4999999999999998
